"","sigma2_ksi_true","sigma2_theta_true","covars","n_views","r","features_per_view","scenario_id","train_seed"
"529",0,1.5,FALSE,4,6,150,7,59
"530",0.75,1.5,FALSE,4,6,150,8,59
"531",1.5,1.5,FALSE,4,6,150,9,59
"532",0,0,FALSE,4,6,150,1,60
"533",0.75,0,FALSE,4,6,150,2,60
"534",1.5,0,FALSE,4,6,150,3,60
"535",0,0.75,FALSE,4,6,150,4,60
"536",0.75,0.75,FALSE,4,6,150,5,60
"537",1.5,0.75,FALSE,4,6,150,6,60
"538",0,1.5,FALSE,4,6,150,7,60
"539",0.75,1.5,FALSE,4,6,150,8,60
"540",1.5,1.5,FALSE,4,6,150,9,60
"541",0,0,FALSE,4,6,150,1,61
"542",0.75,0,FALSE,4,6,150,2,61
"543",1.5,0,FALSE,4,6,150,3,61
"544",0,0.75,FALSE,4,6,150,4,61
"545",0.75,0.75,FALSE,4,6,150,5,61
"546",1.5,0.75,FALSE,4,6,150,6,61
"547",0,1.5,FALSE,4,6,150,7,61
"548",0.75,1.5,FALSE,4,6,150,8,61
"549",1.5,1.5,FALSE,4,6,150,9,61
"550",0,0,FALSE,4,6,150,1,62
"551",0.75,0,FALSE,4,6,150,2,62
"552",1.5,0,FALSE,4,6,150,3,62
"553",0,0.75,FALSE,4,6,150,4,62
